Make,Model,BatterySizekWH,AccelerationSEC,TopSpeedKMPH,RangeKM,EfficiencyWHPKM,FastChargeSpeedKMPH,Drive,NumberofSeats,PriceinGermanyEuro,PriceinUKPounds
Fiat, 500e 3+1 42 kWh,37.3 ,9.0 ,150 ,235 ,159 ,390 ,Front Wheel Drive,4,36990,
Mercedes, EQC 400 4MATIC,80 ,5.1 ,180 ,370 ,216 ,440 ,All Wheel Drive,5,66069,72335
Citroen, e-SpaceTourer M 50 kWh,46.3 ,12.1 ,130 ,185 ,250 ,290 ,Front Wheel Drive,7,53640,47495
Citroen, e-SpaceTourer XL 50 kWh,46.3 ,12.1 ,130 ,180 ,257 ,290 ,Front Wheel Drive,7,54430,48335
Citroen, e-SpaceTourer M 75 kWh,68 ,13.3 ,130 ,265 ,257 ,290 ,Front Wheel Drive,7,59640,
Citroen, e-SpaceTourer XL 75 kWh,68 ,13.3 ,130 ,260 ,262 ,280 ,Front Wheel Drive,7,60430,
Opel, Zafira-e Life M 50 kWh,46.3 ,12.1 ,130 ,185 ,250 ,290 ,Front Wheel Drive,7,63250,50630
Opel, Zafira-e Life L 50 kWh,46.3 ,12.1 ,130 ,180 ,257 ,290 ,Front Wheel Drive,7,64075,50990
Opel, Zafira-e Life M 75 kWh,68 ,13.3 ,130 ,265 ,257 ,290 ,Front Wheel Drive,7,69250,
Opel, Zafira-e Life L 75 kWh,68 ,13.3 ,130 ,260 ,262 ,280 ,Front Wheel Drive,7,70075,
Peugeot, e-Traveller Standard 50 kWh,46.3 ,13.1 ,130 ,185 ,250 ,290 ,Front Wheel Drive,7,53640,49100
Peugeot, e-Traveller Long 50 kWh,46.3 ,13.1 ,130 ,180 ,257 ,290 ,Front Wheel Drive,7,54430,54275
Peugeot, e-Traveller Standard 75 kWh,68 ,14.3 ,130 ,265 ,257 ,290 ,Front Wheel Drive,7,59640,
Peugeot, e-Traveller Long 75 kWh,68 ,14.3 ,130 ,260 ,262 ,280 ,Front Wheel Drive,7,60430,
Porsche, Taycan ,71 ,5.4 ,230 ,410 ,173 ,1010 ,Rear Wheel Drive,4,88399,75500
Porsche, Taycan Plus,83.7 ,5.4 ,230 ,475 ,176 ,1170 ,Rear Wheel Drive,4,94123,79549
Tesla, Model S Dual Motor,95 ,3.2 ,250 ,570 ,167 ,790 ,All Wheel Drive,5,112990,100000
Tesla, Model S Plaid,95 ,2.1 ,282 ,550 ,173 ,770 ,All Wheel Drive,5,137990,125000
Tesla, Model X Dual Motor,95 ,3.9 ,250 ,470 ,202 ,650 ,All Wheel Drive,7,120990,108000
Tesla, Model X Plaid,95 ,2.6 ,262 ,455 ,209 ,630 ,All Wheel Drive,7,140990,128000
Mini, Cooper SE ,28.9 ,7.3 ,150 ,180 ,161 ,260 ,Front Wheel Drive,4,35700,29000
JAC, iEV7s,39 ,12.0 ,132 ,225 ,173 ,160 ,Front Wheel Drive,5,,
Volkswagen, ID.4 Pure Performance,52 ,9.0 ,160 ,285 ,182 ,360 ,Rear Wheel Drive,5,,40275
Audi, e-tron GT quattro,85 ,4.1 ,245 ,420 ,202 ,1030 ,All Wheel Drive,4,106050,84000
Hyundai, Kona Electric 39 kWh,39.2 ,9.9 ,155 ,250 ,157 ,220 ,Front Wheel Drive,5,36400,32450
Hyundai, Kona Electric 64 kWh,64 ,7.9 ,167 ,395 ,162 ,370 ,Front Wheel Drive,5,42900,37750
Porsche, Taycan 4S Cross Turismo,83.7 ,4.1 ,240 ,425 ,197 ,1050 ,All Wheel Drive,4,114222,91000
Porsche, Taycan Turbo Cross Turismo,83.7 ,3.3 ,250 ,400 ,209 ,980 ,All Wheel Drive,4,157776,120900
Porsche, Taycan Turbo S Cross Turismo,83.7 ,2.9 ,250 ,385 ,217 ,950 ,All Wheel Drive,4,191096,143400
Kia, EV6 GT,74 ,3.5 ,260 ,370 ,200 ,970 ,All Wheel Drive,5,72990,62645
BMW, iX xDrive40,71 ,6.1 ,200 ,360 ,197 ,480 ,All Wheel Drive,5,77300,69905
BMW, iX xDrive50,105.2 ,4.6 ,200 ,505 ,208 ,680 ,All Wheel Drive,5,100100,99785
MG, MG5 Electric Long Range,57.4 ,7.7 ,185 ,335 ,171 ,330 ,Front Wheel Drive,5,38490,30995
MG, Marvel R Performance,65 ,4.9 ,200 ,330 ,197 ,390 ,All Wheel Drive,5,50990,
Hyundai, IONIQ 5 Standard Range 2WD,54 ,8.5 ,185 ,295 ,183 ,720 ,Rear Wheel Drive,5,43900,43150
Kia, EV6 Standard Range 2WD,54 ,8.5 ,185 ,305 ,177 ,750 ,Rear Wheel Drive,5,46990,
Kia, EV6 Long Range 2WD,74 ,7.3 ,185 ,410 ,180 ,1070 ,Rear Wheel Drive,5,51990,45245
Kia, EV6 Long Range AWD,74 ,5.2 ,185 ,400 ,185 ,1050 ,All Wheel Drive,5,55980,51745
Mercedes, EQS 450+,107.8 ,6.2 ,210 ,640 ,168 ,960 ,Rear Wheel Drive,5,109551,105610
Mercedes, EQS 580 4MATIC,107.8 ,4.3 ,210 ,605 ,178 ,900 ,All Wheel Drive,5,141705,
Volkswagen, ID.4 Pure,52 ,10.9 ,160 ,285 ,182 ,360 ,Rear Wheel Drive,5,,38845
Audi, Q4 e-tron 40,76.6 ,8.5 ,160 ,405 ,189 ,510 ,Rear Wheel Drive,5,51900,49930
Audi, Q4 e-tron 50 quattro,76.6 ,6.2 ,180 ,385 ,199 ,490 ,All Wheel Drive,5,57900,56310
Audi, Q4 Sportback e-tron 50 quattro,76.6 ,6.2 ,180 ,400 ,192 ,500 ,All Wheel Drive,5,59900,57810
Mercedes, EQB 350 4MATIC,66.5 ,6.2 ,160 ,335 ,199 ,480 ,All Wheel Drive,7,58197,56810
Mercedes, EQA 300 4MATIC,66.5 ,7.7 ,160 ,350 ,190 ,500 ,All Wheel Drive,5,53746,53010
Mercedes, EQA 350 4MATIC,66.5 ,6.0 ,160 ,350 ,190 ,500 ,All Wheel Drive,5,56424,54510
Toyota, PROACE Verso M 75 kWh,68 ,13.1 ,130 ,265 ,257 ,290 ,Front Wheel Drive,7,64530,
Toyota, PROACE Verso L 75 kWh,68 ,13.1 ,130 ,260 ,262 ,280 ,Front Wheel Drive,7,65385,
CUPRA, Born 150 kW - 58 kWh,58 ,7.3 ,160 ,350 ,166 ,470 ,Rear Wheel Drive,5,39370,36475
CUPRA, Born 170 kW - 58 kWh,58 ,6.6 ,160 ,345 ,168 ,460 ,Rear Wheel Drive,5,40750,39205
CUPRA, Born 170 kW - 77 kWh,77 ,7.0 ,160 ,450 ,171 ,570 ,Rear Wheel Drive,4,46450,41975
BMW, i4 M50,80.7 ,3.9 ,225 ,435 ,186 ,670 ,All Wheel Drive,5,70800,71085
Renault, Megane E-Tech EV60 220hp,60 ,7.4 ,160 ,360 ,167 ,500 ,Front Wheel Drive,5,46600,36995
Peugeot, e-Rifter Standard 50 kWh,46.3 ,11.7 ,135 ,205 ,226 ,330 ,Front Wheel Drive,7,41240,32300
Peugeot, e-Rifter Long 50 kWh,46.3 ,11.7 ,135 ,200 ,232 ,320 ,Front Wheel Drive,7,42440,34300
MG, Marvel R ,65 ,7.9 ,200 ,335 ,194 ,400 ,Rear Wheel Drive,5,46990,
Audi, Q4 e-tron 45 quattro,76.6 ,6.9 ,180 ,385 ,199 ,490 ,All Wheel Drive,5,53990,
Audi, Q4 Sportback e-tron 40,76.6 ,8.5 ,160 ,425 ,180 ,540 ,Rear Wheel Drive,5,53900,51430
BMW, iX3,74 ,6.8 ,180 ,385 ,192 ,520 ,Rear Wheel Drive,5,67300,64165
Renault, Megane E-Tech EV40 130hp,40 ,10.0 ,150 ,250 ,160 ,360 ,Front Wheel Drive,5,42000,
Mercedes, EQS AMG 53 4MATIC+,107.8 ,3.4 ,250 ,565 ,191 ,840 ,All Wheel Drive,5,155009,161860
Mercedes, EQE 350+,90.6 ,6.4 ,210 ,525 ,173 ,780 ,Rear Wheel Drive,5,,
MG, ZS EV Standard Range,49 ,8.6 ,175 ,270 ,181 ,260 ,Front Wheel Drive,5,33990,29495
MG, ZS EV Long Range,68.3 ,8.4 ,175 ,365 ,187 ,410 ,Front Wheel Drive,5,37990,31995
Mercedes, EQV 250 Long,60 ,12.0 ,160 ,205 ,293 ,190 ,Front Wheel Drive,7,68056,
Mercedes, EQV 250 Extra-Long,60 ,12.0 ,160 ,205 ,293 ,190 ,Front Wheel Drive,7,68949,
Opel, Combo-e Life 50 kWh,46.3 ,11.7 ,135 ,205 ,226 ,330 ,Front Wheel Drive,7,43050,34035
Opel, Combo-e Life XL 50 kWh,46.3 ,11.7 ,135 ,200 ,232 ,320 ,Front Wheel Drive,7,44750,34635
Citroen, e-Berlingo M 50 kWh,46.3 ,11.7 ,135 ,205 ,226 ,330 ,Front Wheel Drive,5,37790,31495
Citroen, e-Berlingo XL 50 kWh,46.3 ,11.7 ,135 ,200 ,232 ,320 ,Front Wheel Drive,7,43640,32495
Tesla, Model 3,57.5 ,6.1 ,225 ,380 ,151 ,630 ,Rear Wheel Drive,5,44668,42990
Volkswagen, ID.5 Pro,77 ,10.4 ,160 ,430 ,179 ,540 ,Rear Wheel Drive,5,47935,50710
Volkswagen, ID.5 Pro Performance,77 ,8.4 ,160 ,430 ,179 ,540 ,Rear Wheel Drive,5,48970,52185
Volkswagen, ID.5 GTX,77 ,6.3 ,180 ,405 ,190 ,560 ,All Wheel Drive,5,56455,56545
Mercedes, EQB 300 4MATIC,66.5 ,8.0 ,160 ,335 ,199 ,480 ,All Wheel Drive,7,55519,55310
Porsche, Taycan GTS,83.7 ,3.7 ,250 ,450 ,186 ,1110 ,All Wheel Drive,4,134214,106000
Porsche, Taycan GTS Sport Turismo,83.7 ,3.7 ,250 ,425 ,197 ,1050 ,All Wheel Drive,4,135166,107000
Toyota, bZ4X FWD,64 ,7.5 ,160 ,335 ,191 ,500 ,Front Wheel Drive,5,47490,45710
Toyota, bZ4X AWD,64 ,6.9 ,160 ,330 ,194 ,490 ,All Wheel Drive,5,57390,52110
Subaru, Solterra AWD,64 ,6.9 ,160 ,320 ,200 ,480 ,All Wheel Drive,5,57490,49995
Peugeot, e-208,46.3 ,8.1 ,150 ,290 ,160 ,460 ,Front Wheel Drive,5,39100,34595
Peugeot, e-2008 SUV,46.3 ,8.5 ,150 ,260 ,178 ,420 ,Front Wheel Drive,5,37900,35150
Opel, Corsa-e ,46.3 ,8.1 ,150 ,295 ,157 ,470 ,Front Wheel Drive,5,36395,31130
Opel, Mokka-e ,46.3 ,9.2 ,150 ,260 ,178 ,420 ,Front Wheel Drive,5,40650,34910
Citroen, e-C4,46.3 ,9.7 ,150 ,275 ,168 ,440 ,Front Wheel Drive,5,36040,30995
Renault, Megane E-Tech EV60 130hp,60 ,10.5 ,150 ,365 ,164 ,510 ,Front Wheel Drive,5,47000,
SsangYong, Korando e-Motion,56 ,8.5 ,156 ,290 ,193 ,330 ,Front Wheel Drive,5,40490,
BMW, iX M60,105.2 ,3.8 ,250 ,485 ,217 ,650 ,All Wheel Drive,5,136100,119225
Tesla, Model 3 Long Range Dual Motor,75 ,4.4 ,233 ,485 ,155 ,750 ,All Wheel Drive,5,53668,50990
Citroen, e-Jumpy Combi M 50 kWh,46.3 ,12.1 ,130 ,185 ,250 ,290 ,Front Wheel Drive,7,51940,35795
Citroen, e-Jumpy Combi XL 50 kWh,46.3 ,12.1 ,130 ,180 ,257 ,290 ,Front Wheel Drive,7,52730,35995
Citroen, e-Jumpy Combi M 75 kWh,68 ,13.3 ,130 ,265 ,257 ,290 ,Front Wheel Drive,7,57940,
Citroen, e-Jumpy Combi XL 75 kWh,68 ,13.3 ,130 ,260 ,262 ,280 ,Front Wheel Drive,7,58730,
Opel, Vivaro-e Combi M 50 kWh,46.3 ,12.1 ,130 ,185 ,250 ,290 ,Front Wheel Drive,7,50992,37320
Opel, Vivaro-e Combi L 50 kWh,46.3 ,12.1 ,130 ,180 ,257 ,290 ,Front Wheel Drive,7,51825,37520
Opel, Vivaro-e Combi M 75 kWh,68 ,13.3 ,130 ,265 ,257 ,290 ,Front Wheel Drive,7,56942,
Opel, Vivaro-e Combi L 75 kWh,68 ,13.3 ,130 ,260 ,262 ,280 ,Front Wheel Drive,7,57775,
Peugeot, e-Expert Combi Standard 50 kWh,46.3 ,13.1 ,130 ,185 ,250 ,290 ,Front Wheel Drive,7,51940,
Peugeot, e-Expert Combi Long 50 kWh,46.3 ,13.1 ,130 ,180 ,257 ,290 ,Front Wheel Drive,7,52730,
Peugeot, e-Expert Combi Standard 75 kWh,68 ,14.3 ,130 ,265 ,257 ,290 ,Front Wheel Drive,7,57940,
Peugeot, e-Expert Combi Long 75 kWh,68 ,14.3 ,130 ,260 ,262 ,280 ,Front Wheel Drive,7,58730,
Toyota, PROACE Shuttle M 50 kWh,46.3 ,12.1 ,130 ,180 ,257 ,290 ,Front Wheel Drive,7,,
Toyota, PROACE Shuttle L 50 kWh,46.3 ,12.1 ,130 ,180 ,257 ,290 ,Front Wheel Drive,7,,
Toyota, PROACE Shuttle M 75 kWh,68 ,13.1 ,130 ,260 ,262 ,280 ,Front Wheel Drive,7,,
Toyota, PROACE Shuttle L 75 kWh,68 ,13.1 ,130 ,260 ,262 ,280 ,Front Wheel Drive,7,,
Mercedes, eVito Tourer Long 90 kWh,90 ,12.0 ,160 ,310 ,290 ,310 ,Front Wheel Drive,7,64248,68352
