Make,Model,BatterySizekWH,AccelerationSEC,TopSpeedKMPH,RangeKM,EfficiencyWHPKM,FastChargeSpeedKMPH,Drive,NumberofSeats,PriceinGermanyEuro,PriceinUKPounds
Fisker, Ocean Sport,75 ,7.4 ,160 ,380 ,197 ,480 ,Front Wheel Drive,5,41560,35970
Fisker, Ocean Ultra,100 ,4.2 ,200 ,510 ,196 ,730 ,All Wheel Drive,5,57000,49880
Fisker, Ocean Extreme,100 ,3.9 ,200 ,510 ,196 ,730 ,All Wheel Drive,5,69950,60880
Fisker, Ocean One,100 ,3.9 ,200 ,510 ,196 ,730 ,All Wheel Drive,5,69950,60880
Mercedes, EQE 300,89 ,7.6 ,210 ,515 ,173 ,650 ,Rear Wheel Drive,5,66402,74345
Mercedes, EQE 350,89 ,6.4 ,210 ,515 ,173 ,650 ,Rear Wheel Drive,5,70210,77345
Mercedes, EQE 350 4MATIC,90.6 ,6.3 ,210 ,500 ,181 ,750 ,All Wheel Drive,5,73363,
Mercedes, EQE 500 4MATIC,90.6 ,4.7 ,210 ,500 ,181 ,750 ,All Wheel Drive,5,87286,
Hyundai, IONIQ 6 Standard Range 2WD,54 ,8.8 ,185 ,360 ,150 ,880 ,Rear Wheel Drive,5,43900,
Hyundai, IONIQ 6 Long Range 2WD,74 ,7.4 ,185 ,475 ,156 ,1240 ,Rear Wheel Drive,5,54000,46745
Hyundai, IONIQ 6 Long Range AWD,74 ,5.1 ,185 ,440 ,168 ,1150 ,All Wheel Drive,5,61100,50245
Audi, Q4 Sportback e-tron 45 quattro,76.6 ,6.9 ,180 ,400 ,192 ,500 ,All Wheel Drive,5,55900,
Fiat, E-Ulysse L2 50 kWh,46.3 ,12.1 ,130 ,185 ,250 ,290 ,Front Wheel Drive,7,55990,
Fiat, E-Ulysse L2 75 kWh,68 ,13.3 ,130 ,265 ,257 ,290 ,Front Wheel Drive,7,61990,
Fiat, E-Ulysse L3 50 kWh,46.3 ,12.1 ,130 ,180 ,257 ,290 ,Front Wheel Drive,7,56990,
Fiat, E-Ulysse L3 75 kWh,68 ,13.3 ,130 ,260 ,262 ,280 ,Front Wheel Drive,7,62990,
Genesis, GV70 Electrified Sport,74 ,4.2 ,235 ,350 ,211 ,860 ,All Wheel Drive,5,67300,64405
Fiat, 500e 3+1 24 kWh,21.3 ,9.0 ,135 ,135 ,158 ,230 ,Front Wheel Drive,4,,
Fiat, 500e Cabrio 24 kWh,21.3 ,9.0 ,135 ,135 ,158 ,230 ,Front Wheel Drive,4,35490,
Tesla, Model Y ,57.5 ,6.9 ,217 ,345 ,167 ,580 ,Rear Wheel Drive,5,47567,44990
Peugeot, e-308,50.8 ,9.0 ,150 ,310 ,164 ,460 ,Front Wheel Drive,5,44000,37000
Peugeot, e-308 SW,50.8 ,9.0 ,150 ,300 ,169 ,450 ,Front Wheel Drive,5,45000,38000
Hongqi, E-HS9 84 kWh,76.5 ,6.5 ,200 ,305 ,251 ,420 ,All Wheel Drive,5,,
Hongqi, E-HS9 99 kWh,90 ,4.9 ,200 ,355 ,254 ,410 ,All Wheel Drive,5,,
Smart, #1 Brabus,62 ,3.9 ,180 ,320 ,194 ,490 ,All Wheel Drive,5,48990,42000
Kia, e-Soul 64 kWh,64 ,7.9 ,167 ,370 ,173 ,350 ,Front Wheel Drive,5,46950,39045
Kia, e-Soul 39.2 kWh,39.2 ,9.9 ,157 ,230 ,170 ,200 ,Front Wheel Drive,5,,32845
NIO, ET7 75 kWh,70.5 ,3.8 ,200 ,400 ,176 ,540 ,All Wheel Drive,5,81900,
NIO, ET7 100 kWh,90 ,3.8 ,200 ,505 ,178 ,530 ,All Wheel Drive,5,90900,
Ford, Mustang Mach-E SR RWD,70 ,6.9 ,180 ,355 ,197 ,370 ,Rear Wheel Drive,5,62900,50830
Ford, Mustang Mach-E ER RWD,91 ,7.0 ,180 ,455 ,200 ,400 ,Rear Wheel Drive,5,71200,59380
Ford, Mustang Mach-E SR AWD,70 ,6.3 ,180 ,345 ,203 ,360 ,All Wheel Drive,5,69200,
Ford, Mustang Mach-E ER AWD,91 ,5.8 ,180 ,440 ,207 ,390 ,All Wheel Drive,5,77200,65405
Ford, Mustang Mach-E GT,91 ,4.4 ,200 ,425 ,214 ,380 ,All Wheel Drive,5,86200,74540
Polestar, 3 Long Range Dual motor,107 ,5.0 ,210 ,490 ,218 ,640 ,All Wheel Drive,5,88600,79900
Polestar, 3 Long Range Performance,107 ,4.7 ,210 ,470 ,228 ,610 ,All Wheel Drive,5,95200,85500
Mercedes, EQE SUV 350+,90.6 ,7.0 ,210 ,470 ,193 ,700 ,Rear Wheel Drive,5,90000,
Mercedes, EQE SUV 350 4MATIC,90.6 ,6.5 ,210 ,455 ,199 ,680 ,All Wheel Drive,5,95000,90560
Mercedes, EQE SUV 500 4MATIC,90.6 ,5.0 ,210 ,455 ,199 ,680 ,All Wheel Drive,5,115000,108760
Mercedes, EQE SUV AMG 43 4MATIC,90.6 ,4.3 ,210 ,435 ,208 ,650 ,All Wheel Drive,5,124920,
Mercedes, EQE SUV AMG 53 4MATIC+,90.6 ,3.5 ,240 ,425 ,213 ,630 ,All Wheel Drive,5,130000,120000
Rolls-Royce, Spectre ,100 ,4.5 ,250 ,455 ,220 ,540 ,All Wheel Drive,4,400000,350000
Aiways, U6,60 ,7.0 ,160 ,350 ,171 ,430 ,Front Wheel Drive,5,47588,
Lotus, Eletre ,107 ,4.5 ,250 ,520 ,206 ,1090 ,All Wheel Drive,5,95990,89500
Lotus, Eletre R,107 ,2.9 ,260 ,450 ,238 ,940 ,All Wheel Drive,5,150990,120000
Audi, Q8 e-tron 50 quattro,89 ,6.0 ,200 ,415 ,214 ,580 ,All Wheel Drive,5,74400,67800
Audi, Q8 e-tron 55 quattro,106 ,5.6 ,200 ,495 ,214 ,670 ,All Wheel Drive,5,85300,77800
Audi, Q8 e-tron Sportback 50 quattro,89 ,6.0 ,200 ,440 ,202 ,610 ,All Wheel Drive,5,76650,70300
Audi, Q8 e-tron Sportback 55 quattro,106 ,5.6 ,200 ,525 ,202 ,710 ,All Wheel Drive,5,87550,80300
